collectionName,location,length,2021-04-28-US-SJC-1,2020-08-03-US-MTV-1,2020-05-29-US-MTV-2,2021-01-04-US-RWC-2,2020-05-21-US-MTV-1,2020-05-14-US-MTV-2,2021-01-05-US-SVL-2,2021-04-29-US-SJC-2,2020-05-14-US-MTV-1,2021-01-04-US-RWC-1,2021-04-15-US-MTV-1,2020-05-29-US-MTV-1,2020-06-04-US-MTV-1,2020-06-05-US-MTV-2,2020-07-17-US-MTV-1,2020-07-17-US-MTV-2,2021-01-05-US-SVL-1,2021-04-28-US-MTV-1,2020-05-21-US-MTV-2,2021-04-26-US-SVL-1,2021-04-29-US-MTV-1,2020-07-08-US-MTV-1,2020-08-06-US-MTV-2,2020-06-05-US-MTV-1,2021-04-22-US-SJC-1,2020-09-04-US-SF-2,2020-06-11-US-MTV-1,2020-09-04-US-SF-1,2021-03-10-US-SVL-1
2020-05-14-US-MTV-1,upper,long,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0
2020-05-14-US-MTV-2,upper,long,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-05-21-US-MTV-1,upper,long,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0
2020-05-21-US-MTV-2,upper,long,0,2,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0
2020-05-29-US-MTV-1,lower,long,0,0,2,1,0,0,1,0,0,1,0,2,0,0,2,2,1,0,0,0,0,0,2,2,0,2,2,0,0
2020-05-29-US-MTV-2,lower,long,0,0,2,1,0,0,1,0,0,1,0,2,0,2,2,2,1,0,0,0,0,0,2,2,0,2,2,0,0
2020-06-04-US-MTV-1,upper,long,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0
2020-06-05-US-MTV-1,lower,long,0,0,2,0,0,0,1,0,0,0,0,2,0,0,2,2,1,0,0,0,0,0,2,2,0,1,2,0,0
2020-06-05-US-MTV-2,lower-straight,long,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0
2020-06-11-US-MTV-1,lower,long,0,0,2,1,0,0,1,0,0,1,0,2,0,0,2,2,1,0,0,0,0,0,2,2,0,2,2,0,0
2020-07-08-US-MTV-1,upper,long,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0
2020-07-17-US-MTV-1,lower,long,0,0,2,1,0,0,1,0,0,1,0,2,0,0,2,2,1,0,0,0,0,0,2,2,0,2,2,0,0
2020-07-17-US-MTV-2,lower,long,0,0,2,1,0,0,1,0,0,1,0,2,0,2,2,2,1,0,0,0,0,0,2,2,0,2,2,0,0
2020-08-03-US-MTV-1,upper,long,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0
2020-08-06-US-MTV-2,lower,long,0,0,2,1,0,0,1,0,0,1,0,2,0,2,2,2,1,0,0,0,0,0,2,2,0,2,2,0,0
2020-09-04-US-SF-1,upper,long,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0
2020-09-04-US-SF-2,lower,long,0,0,2,1,0,0,1,0,0,1,0,2,0,2,2,2,1,0,0,0,0,0,2,1,0,2,2,0,0
2021-01-04-US-RWC-1,lower-middle,short,0,0,1,2,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
2021-01-04-US-RWC-2,lower-middle,short,0,0,1,2,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
2021-01-05-US-SVL-1,lower-right,short,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1,1,0,1,1,0,0
2021-01-05-US-SVL-2,lower-right,short,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1,1,0,1,1,0,0
2021-03-10-US-SVL-1,right,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
2021-04-15-US-MTV-1,upper-right,short,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-22-US-SJC-1,block,short,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2021-04-26-US-SVL-1,right,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
2021-04-28-US-MTV-1,center,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
2021-04-28-US-SJC-1,block,short,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2021-04-29-US-MTV-1,center,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
2021-04-29-US-SJC-2,block,short,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
